,Type,Region,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Price
1240,Explorer,Riyadh,Ford,Automatic,Other,Semi Full,2006,3.5,405000,18000
1241,Rio,Jubail,Kia,Automatic,Saudi,Standard,2013,1.6,300000,19000
1243,6,Riyadh,Mazda,Automatic,Gulf Arabic,Standard,2017,2.5,48004,55000
1245,Rio,Dammam,Kia,Automatic,Saudi,Standard,2016,1.4,188000,21000
1246,Furniture,Al-Medina,Toyota,Automatic,Saudi,Semi Full,2015,2.7,300,52000
1247,Expedition,Al-Ahsa,Ford,Automatic,Saudi,Full,2012,5.4,289000,57000
1248,Camry,Riyadh,Toyota,Automatic,Gulf Arabic,Full,2016,2.5,247,55000
1250,Impala,Riyadh,Chevrolet,Automatic,Saudi,Standard,2016,3.6,118000,48000
1251,Camry,Qassim,Toyota,Automatic,Saudi,Full,2016,2.5,155000,52000
1257,Accord,Riyadh,Honda,Automatic,Saudi,Semi Full,2019,1.5,49000,95000
1258,Sportage,Riyadh,Kia,Automatic,Gulf Arabic,Semi Full,2018,2.4,77000,58000
1260,Caprice,Riyadh,Chevrolet,Automatic,Saudi,Full,2013,5.5,184000,36000
1261,Marquis,Al-Medina,Ford,Automatic,Other,Full,2010,4.6,360,29000
1262,Hilux,Riyadh,Toyota,Automatic,Saudi,Full,2019,2.7,80000,120000
1263,Passat,Jeddah,Volkswagen,Automatic,Other,Full,2015,2.5,70000,73000
1266,Accent,Dammam,Hyundai,Automatic,Saudi,Standard,2018,1.4,67000,32000
1268,The 7,Riyadh,BMW,Automatic,Saudi,Full,2004,3.6,297000,11500
1269,Camry,Dammam,Toyota,Automatic,Saudi,Standard,2017,2.5,319000,46000
1270,Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,2018,4.6,141197,195000
1271,Passat,Jeddah,Volkswagen,Automatic,Saudi,Standard,2016,2.5,49000,49000
1272,Expedition,Dammam,Ford,Automatic,Saudi,Standard,2013,5.4,78000,64000
1274,Yaris,Riyadh,Toyota,Automatic,Saudi,Standard,2017,1.6,167000,29000
1276,Delta,Aseer,Daihatsu,Manual,Saudi,Full,2014,3.7,100,35000
1277,Civic,Jeddah,Honda,Automatic,Saudi,Standard,2017,1.5,200000,38000
1278,Elantra,Al-Ahsa,Hyundai,Automatic,Gulf Arabic,Full,2017,1.6,136000,39000
1281,VTC,Dammam,Nissan,Manual,Saudi,Standard,2014,4.0,207000,65000
1284,Explorer,Qassim,Ford,Automatic,Saudi,Full,2015,2.0,40000,90000
1287,Fusion,Riyadh,Ford,Automatic,Saudi,Semi Full,2014,2.0,260000,30000
1289,Taurus,Riyadh,Ford,Automatic,Saudi,Standard,2013,1.6,251,35000
1290,E,Jeddah,Mercedes,Automatic,Gulf Arabic,Semi Full,2018,2.0,250000,105000
1291,Datsun,Taef,Nissan,Manual,Saudi,Full,2015,2.4,200000,35000
1294,Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2016,1.6,214000,23500
1295,Charger,Riyadh,Dodge,Automatic,Other,Full,2016,5.7,123000,109000
1297,Acadia,Khobar,GMC,Automatic,Saudi,Standard,2011,3.6,187000,22000
1299,Hilux,Jazan,Toyota,Manual,Saudi,Standard,2014,1.0,160,50000
1301,Lancer,Riyadh,Mitsubishi,Automatic,Other,Standard,2009,1.6,222835,11500
1303,Taurus,Riyadh,Ford,Automatic,Other,Full,2015,3.0,217000,49000
1305,Accent,Dammam,Hyundai,Automatic,Saudi,Standard,2017,1.4,53000,35000
1306,Sonata,Jeddah,Hyundai,Automatic,Saudi,Semi Full,2011,2.4,186000,25000
1307,Avanza,Riyadh,Toyota,Automatic,Saudi,Standard,2016,1.6,160000,28000
1308,H3,Riyadh,Hummer,Automatic,Other,Full,2006,3.5,236000,22000
1309,Rav4,Riyadh,Toyota,Automatic,Saudi,Standard,2018,2.5,153000,66000
1310,Taurus,Dammam,Ford,Automatic,Saudi,Standard,2017,3.5,153889,68000
1312,GS3,Riyadh,GAC,Automatic,Other,Full,2021,1.3,22600,50000
1315,ES,Riyadh,Lexus,Automatic,Gulf Arabic,Full,2017,3.5,50000,127000
1316,Datsun,Jeddah,Nissan,Manual,Saudi,Standard,2015,2.4,77000,53000
1317,The 3,Jeddah,BMW,Automatic,Saudi,Full,2014,2.0,84000,60000
1320,Accord,Dammam,Honda,Automatic,Saudi,Standard,2017,2.4,104000,79000
1322,Land Cruiser Pickup,Dammam,Toyota,Manual,Saudi,Full,2018,4.0,28000,147000
1323,Hilux,Jubail,Toyota,Manual,Gulf Arabic,Semi Full,2017,2.7,83000,76000
1324,Land Cruiser,Taef,Toyota,Automatic,Saudi,Standard,2009,5.0,319,75000
1325,Elantra,Riyadh,Hyundai,Automatic,Saudi,Standard,2019,1.6,56536,47000
1328,Camry,Dammam,Toyota,Automatic,Gulf Arabic,Full,2016,2.6,183000,70000
1329,Wrangler,Riyadh,Jeep,Manual,Gulf Arabic,Standard,2018,3.6,40000,115000
1331,Hiace,Dammam,Toyota,Manual,Saudi,Standard,2016,2.7,350000,60000
1332,Yukon,Makkah,GMC,Automatic,Saudi,Standard,2012,5.3,65000,80000
1333,6,Riyadh,Mazda,Automatic,Saudi,Standard,2019,2.5,71187,76500
1335,Patrol,Riyadh,Nissan,Automatic,Saudi,Full,2017,4.6,31538,161500
1336,Malibu,Dammam,Chevrolet,Automatic,Saudi,Full,2013,3.6,177000,30000
1338,Corolla,Riyadh,Toyota,Automatic,Saudi,Standard,2018,1.6,90000,48500
1340,Sunny,Riyadh,Nissan,Automatic,Saudi,Standard,2017,1.5,109763,21500
1341,Senta fe,Jeddah,Hyundai,Automatic,Saudi,Semi Full,2013,3.3,16700,52000
1342,LS,Riyadh,Lexus,Automatic,Saudi,Full,2020,3.6,27000,360000
1343,Land Cruiser,Dammam,Toyota,Automatic,Saudi,Full,2017,5.7,50000,245000
1344,Land Cruiser,Khobar,Toyota,Automatic,Saudi,Semi Full,2003,4.5,397000,34000
1345,Tahoe,Dammam,Chevrolet,Automatic,Other,Full,2016,5.3,149000,149000
1346,Hilux,Aseer,Toyota,Manual,Saudi,Full,2019,2.7,28000,72500
1348,CX9,Dammam,Mazda,Automatic,Saudi,Standard,2020,2.5,31200,110000
1349,Azera,Riyadh,Hyundai,Automatic,Saudi,Full,2016,3.0,350000,41000
1350,Taurus,Al-Ahsa,Ford,Automatic,Other,Semi Full,2019,3.5,108000,88000
1351,Sonata,Riyadh,Hyundai,Automatic,Saudi,Standard,2016,2.4,191000,45000
1352,Elantra,Jeddah,Hyundai,Automatic,Gulf Arabic,Semi Full,2017,2.0,51000,42000
1353,Odyssey,Jeddah,Honda,Automatic,Saudi,Standard,2020,3.5,40000,100000
1354,E,Riyadh,Mercedes,Automatic,Gulf Arabic,Full,2016,3.0,117000,110000
1355,G80,Riyadh,Genesis,Automatic,Gulf Arabic,Full,2017,3.8,66000,119000
1356,ML,Riyadh,Mercedes,Automatic,Saudi,Semi Full,2002,3.2,297846,17000
1357,Coupe,Dammam,Genesis,Automatic,Saudi,Full,2014,3.8,89000,65000
1358,Ciocca,Makkah,Toyota,Automatic,Saudi,Semi Full,2009,5.7,275000,55000
1359,Accent,Jeddah,Hyundai,Automatic,Saudi,Standard,2017,1.4,168000,29000
1360,Innova,Dammam,Toyota,Automatic,Saudi,Standard,2017,2.7,145997,64000
1362,Cayenne S,Dammam,Porsche,Automatic,Saudi,Full,2014,3.0,118000,145000
1365,Suburban,Dammam,Chevrolet,Automatic,Saudi,Standard,2015,5.3,164000,110000
1366,Cayenne Turbo,Riyadh,Porsche,Automatic,Other,Full,2008,4.8,152750,50000
1367,Land Cruiser,Riyadh,Toyota,Automatic,Gulf Arabic,Full,2013,1.0,495,90000
1368,Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2018,1.4,102109,35000
1370,CX9,Jeddah,Mazda,Automatic,Saudi,Full,2014,3.5,195000,46000
1372,Sunny,Riyadh,Nissan,Automatic,Saudi,Standard,2019,1.5,88795,26500
1373,Marquis,Riyadh,Ford,Automatic,Other,Full,2010,5.0,270000,19000
1375,Range Rover,Riyadh,Land Rover,Automatic,Gulf Arabic,Full,2016,5.0,120346,257000
1376,ES,Jeddah,Lexus,Automatic,Other,Full,2021,3.5,1300,175000
1377,Rav4,Al-Ahsa,Toyota,Automatic,Other,Full,2018,2.7,56625,82500
1378,Camry,Riyadh,Toyota,Manual,Saudi,Standard,2008,2.5,298000,20000
1380,Taurus,Riyadh,Ford,Automatic,Saudi,Standard,2014,3.6,322000,47500
1382,Colorado,Dammam,Chevrolet,Manual,Saudi,Standard,2013,2.0,196000,28000
1383,Camry,Riyadh,Toyota,Automatic,Saudi,Semi Full,2017,2.4,190000,54000
1385,Range Rover,Riyadh,Land Rover,Automatic,Other,Full,2019,5.0,36000,400000
1386,Hilux,Riyadh,Toyota,Manual,Saudi,Full,2015,2.7,157000,60000
1387,C,Dammam,Mercedes,Automatic,Other,Full,2017,2.0,54000,153000
1388,Sunny,Jeddah,Nissan,Automatic,Saudi,Standard,2016,1.5,200000,20000
1389,Ciocca,Dammam,Toyota,Automatic,Saudi,Semi Full,2016,5.7,333000,78000
1390,Suburban,Al-Ahsa,GMC,Automatic,Saudi,Semi Full,2004,5.3,111878,15000
1392,Focus,Jeddah,Ford,Automatic,Other,Standard,2011,1.6,181000,10000
1395,Optima,Dammam,Kia,Automatic,Saudi,Full,2016,2.4,161000,68000
1396,Sonata,Jeddah,Hyundai,Automatic,Saudi,Semi Full,2013,2.4,344506,30000
1397,Furniture,Jeddah,Toyota,Automatic,Saudi,Standard,2020,2.7,1200,110000
1400,Yukon,Makkah,GMC,Automatic,Saudi,Full,2008,7.2,299000,30000
1401,Taurus,Dammam,Ford,Automatic,Other,Semi Full,2017,3.5,131000,67000
1402,Attrage,Riyadh,Mitsubishi,Automatic,Saudi,Standard,2020,1.2,15000,25000
1405,RX,Jeddah,Lexus,Automatic,Saudi,Full,2015,3.5,73000,110000
1407,Marquis,Riyadh,Ford,Automatic,Other,Standard,2001,4.6,293,10000
1409,E,Riyadh,Mercedes,Automatic,Saudi,Full,2021,2.0,7000,290000
1411,Land Cruiser,Dammam,Toyota,Automatic,Saudi,Full,2011,4.6,145000,95000
1413,Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2017,1.4,133000,25000
1415,Camry,Qassim,Toyota,Automatic,Gulf Arabic,Standard,2019,2.5,34727,83000
1416,3,Jeddah,Mazda,Automatic,Saudi,Full,2015,2.0,74000,55000
1417,Charger,Jeddah,Dodge,Automatic,Saudi,Full,2014,5.7,178,50000
1418,Charger,Al-Medina,Dodge,Automatic,Saudi,Semi Full,2019,3.6,56000,108000
1419,Land Cruiser,Najran,Toyota,Manual,Saudi,Semi Full,1988,4.0,195000,30000
1420,C,Riyadh,Mercedes,Automatic,Saudi,Semi Full,2015,2.0,73000,90000
1421,3,Dammam,Mazda,Automatic,Gulf Arabic,Full,2017,1.6,92000,59000
1422,Elantra,Aseer,Hyundai,Automatic,Saudi,Standard,2020,1.6,15800,58000
1423,Corolla,Riyadh,Toyota,Automatic,Gulf Arabic,Semi Full,2020,1.6,66796,1872
1424,Vitara,Qassim,Suzuki,Manual,Saudi,Standard,2006,1.0,139000,12000
1425,Patrol,Riyadh,Nissan,Automatic,Saudi,Full,2014,4.0,25000,115000
1428,Range Rover,Jeddah,Land Rover,Automatic,Saudi,Full,2014,5.0,97500,195000
1429,Dyna,Dammam,Isuzu,Manual,Saudi,Standard,2013,7.0,300,82000
1431,Kaptiva,Al-Medina,Chevrolet,Automatic,Saudi,Semi Full,2012,1.9,50000,27000
1432,C300,Dammam,Chrysler,Automatic,Saudi,Full,2013,1.0,220,42000
1437,Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Semi Full,2013,5.3,342000,53000
1438,Tucson,Jeddah,Hyundai,Automatic,Saudi,Semi Full,2013,2.0,120000,32000
1439,Nativa,Hail,Mitsubishi,Automatic,Saudi,Semi Full,2010,3.0,244,17000
1440,Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,2011,4.0,349266,100000
1441,Dokker,Riyadh,Renault,Manual,Saudi,Standard,2016,1.5,122000,21500
1442,Traverse,Riyadh,Chevrolet,Automatic,Saudi,Semi Full,2017,2.4,110000,49000
1443,C300,Riyadh,Chrysler,Automatic,Saudi,Standard,2017,3.6,133000,70000
1444,CLS,Dammam,Mercedes,Automatic,Saudi,Full,2007,6.3,178000,33000
1446,E,Dammam,Mercedes,Automatic,Other,Full,2017,2.0,66000,162000
1447,Victoria,Yanbu,Ford,Automatic,Saudi,Standard,2011,4.6,128000,43000
1448,Prado,Dammam,Toyota,Automatic,Gulf Arabic,Full,2019,4.0,89000,151000
1449,Suburban,Riyadh,Chevrolet,Automatic,Saudi,Full,2011,5.3,282000,60000
1450,Yaris,Jeddah,Toyota,Automatic,Saudi,Semi Full,2017,1.2,82000,34000
1452,ML,Riyadh,Mercedes,Automatic,Gulf Arabic,Full,2013,5.5,140000,120000
1454,Elantra,Riyadh,Hyundai,Automatic,Saudi,Standard,2017,2.0,237000,42000
1455,Hilux,Dammam,Toyota,Manual,Saudi,Full,2009,2.7,400,32000
1457,Datsun,Riyadh,Nissan,Manual,Saudi,Semi Full,2015,2.5,174436,35000
1459,S,Dammam,Mercedes,Automatic,Saudi,Semi Full,2016,3.0,70000,290000
1460,Cerato,Jeddah,Kia,Automatic,Saudi,Standard,2019,1.6,30799,45000
1462,Victoria,Al-Ahsa,Ford,Automatic,Saudi,Semi Full,2008,4.6,3666,16000
1464,H1,Al-Ahsa,Hyundai,Automatic,Saudi,Standard,2016,2.4,154000,54000
1465,6,Riyadh,Mazda,Automatic,Saudi,Semi Full,2014,2.0,250000,31000
1466,Elantra,Riyadh,Hyundai,Automatic,Saudi,Standard,2019,1.6,103358,48500
1467,Prado,Dammam,Toyota,Automatic,Gulf Arabic,Semi Full,2018,4.0,80000,142000
1469,Elantra,Riyadh,Hyundai,Automatic,Saudi,Standard,2020,1.6,20939,57500
1471,ES,Dammam,Lexus,Automatic,Other,Full,2016,3.5,50000,126000
1473,Sonata,Riyadh,Hyundai,Automatic,Saudi,Full,2012,2.5,221000,30000
1476,ES,Riyadh,Lexus,Automatic,Gulf Arabic,Full,2017,3.5,75000,125000
1477,The 7,Dammam,BMW,Automatic,Saudi,Full,2016,2.0,134000,150000
1478,Accent,Jeddah,Hyundai,Automatic,Saudi,Full,2017,1.6,140000,30000
1480,Mustang,Riyadh,Ford,Automatic,Other,Full,2019,2.3,52000,139000
1483,Yukon,Tabouk,GMC,Automatic,Saudi,Standard,2012,5.3,235000,67000
1484,Accent,Dammam,Hyundai,Automatic,Saudi,Standard,2016,1.6,147000,24000
1486,LF X60,Jeddah,Lifan,Automatic,Saudi,Full,2016,1.6,128000,25000
1488,Taurus,Riyadh,Ford,Automatic,Saudi,Full,2015,3.0,197000,58000
1489,Sunny,Riyadh,Nissan,Automatic,Saudi,Semi Full,2018,1.5,58244,30000
1490,Ciocca,Jubail,Toyota,Automatic,Saudi,Semi Full,2010,5.7,270000,65000
1493,The 3,Jeddah,BMW,Automatic,Saudi,Full,2011,2.5,74000,35000
1494,S,Dammam,Mercedes,Automatic,Saudi,Standard,2016,3.0,60000,210000
1495,Hilux,Aseer,Toyota,Manual,Saudi,Full,2015,2.7,276,57000
1496,Land Cruiser 70,Riyadh,Toyota,Manual,Saudi,Standard,2003,1.6,230000,69000
1497,C,Jeddah,Mercedes,Automatic,Saudi,Semi Full,2015,2.0,99000,91500
1499,FJ,Tabouk,Toyota,Automatic,Saudi,Full,2016,4.0,148,98000
1501,Hilux,Aseer,Toyota,Manual,Saudi,Full,2018,2.7,48000,90000
1502,Rav4,Jeddah,Toyota,Automatic,Saudi,Semi Full,2017,2.4,190000,60000
1504,Marquis,Riyadh,Ford,Automatic,Other,Full,2008,4.6,171000,27000
1506,Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2016,1.4,111,22000
1507,Tucson,Dammam,Hyundai,Automatic,Saudi,Standard,2018,1.6,146000,75000
1508,Land Cruiser,Jeddah,Toyota,Automatic,Gulf Arabic,Semi Full,2020,5.7,124000,250000
1510,Sunny,Riyadh,Nissan,Automatic,Saudi,Standard,2018,1.5,105499,25000
1514,Impala,Riyadh,Chevrolet,Automatic,Gulf Arabic,Full,2016,3.5,152000,70000
1515,A3,Riyadh,Audi,Automatic,Saudi,Semi Full,2016,1.4,70278,69500
1516,Aurion,Riyadh,Toyota,Automatic,Saudi,Full,2009,3.5,373000,33500
1517,Hilux,Riyadh,Toyota,Manual,Saudi,Full,2018,2.7,94458,91500
1518,Victoria,Riyadh,Ford,Automatic,Saudi,Standard,2008,4.6,21000,13000
1519,Sierra,Dammam,GMC,Automatic,Saudi,Standard,2013,5.3,300000,45000
1520,Furniture,Qassim,Toyota,Automatic,Saudi,Semi Full,2021,2.4,29000,145000
1521,Spark,Riyadh,Chevrolet,Automatic,Saudi,Standard,2020,1.4,16000,27000
1522,Avalon,Riyadh,Toyota,Automatic,Saudi,Standard,2019,3.5,43418,115000
1523,Azera,Dammam,Hyundai,Automatic,Saudi,Semi Full,2019,3.5,44271,95000
1525,C,Dammam,Mercedes,Automatic,Saudi,Full,2019,2.0,40000,210000
1526,CX5,Riyadh,Mazda,Automatic,Gulf Arabic,Standard,2014,2.5,110000,41000
1527,Fluence,Riyadh,Renault,Automatic,Saudi,Standard,2015,1.6,121913,29000
1528,Optima,Riyadh,Kia,Automatic,Saudi,Semi Full,2015,2.4,173544,37000
1530,Accent,Taef,Hyundai,Automatic,Saudi,Full,2014,1.6,324000,20000
1532,5,Riyadh,MG,Automatic,Saudi,Full,2020,1.5,23000,44000
1534,Yukon,Jeddah,GMC,Automatic,Saudi,Standard,2021,5.3,4000,1000
1535,Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,2019,3.2,43000,236000
1537,Datsun,Jazan,Nissan,Manual,Saudi,Full,2015,2.4,147000,45000
1538,Camry,Riyadh,Toyota,Manual,Saudi,Standard,2007,2.5,192000,20000
1539,Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Semi Full,2011,5.3,188000,53000
1541,Furniture,Dammam,Toyota,Automatic,Saudi,Full,2015,4.0,26000,52000
1544,Sierra,Riyadh,GMC,Automatic,Other,Standard,2015,5.3,145000,87500
1545,Explorer,Khobar,Ford,Automatic,Saudi,Standard,2005,4.0,300000,7000
1547,Marquis,Riyadh,Ford,Automatic,Other,Full,2008,9.0,115,17000
1549,Caprice,Riyadh,Chevrolet,Automatic,Saudi,Full,2009,6.3,211000,40000
1551,Hilux,Al-Ahsa,Toyota,Automatic,Saudi,Full,2016,2.7,90000,79000
1553,Avanza,Riyadh,Toyota,Automatic,Saudi,Semi Full,2018,1.6,41000,45000
1554,Land Cruiser,Jeddah,Toyota,Automatic,Saudi,Full,2019,4.6,52000,248000
1555,Koleos,Riyadh,Renault,Automatic,Saudi,Full,2017,2.5,103503,64000
1556,Pajero,Dammam,Mitsubishi,Automatic,Saudi,Full,2017,3.5,81000,72000
1558,Hilux,Dammam,Toyota,Manual,Gulf Arabic,Standard,2018,2.4,130000,80000
1559,Prado,Aseer,Toyota,Automatic,Saudi,Semi Full,2015,4.0,160000,105000
1560,Avalon,Riyadh,Toyota,Automatic,Saudi,Semi Full,2021,3.5,6500,140000
1566,Pajero,Jeddah,Mitsubishi,Automatic,Saudi,Full,2016,3.8,146000,63000
1569,Land Cruiser,Dammam,Toyota,Automatic,Saudi,Full,2007,4.5,315000,63000
1570,Suburban,Riyadh,GMC,Automatic,Gulf Arabic,Standard,2016,5.3,98000,140000
1571,Innova,Jeddah,Toyota,Automatic,Saudi,Standard,2018,2.7,87000,70000
1572,Hilux,Jeddah,Toyota,Automatic,Saudi,Full,2016,2.8,97000,91000
1573,Marquis,Riyadh,Ford,Automatic,Other,Semi Full,2011,4.6,300000,22000
1574,Hilux,Qassim,Toyota,Manual,Saudi,Semi Full,2015,2.7,328000,65000
1576,Accord,Riyadh,Honda,Automatic,Gulf Arabic,Semi Full,2016,2.4,106000,66000
1577,Senta fe,Dammam,Hyundai,Automatic,Saudi,Semi Full,2016,3.3,149000,47000
1580,Odyssey,Riyadh,Honda,Automatic,Saudi,Semi Full,2016,3.5,185000,52000
1581,Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Full,2010,2.7,260000,65000
1582,Pajero,Riyadh,Mitsubishi,Automatic,Saudi,Standard,2016,3.5,137000,55000
1583,Corolla,Jeddah,Toyota,Manual,Saudi,Standard,2010,1.5,318800,18000
1585,F150,Dammam,Ford,Automatic,Saudi,Standard,2011,5.0,133000,33000
1586,ES,Riyadh,Lexus,Automatic,Saudi,Semi Full,2015,3.5,246398,85000
1588,Land Cruiser,Jeddah,Toyota,Automatic,Saudi,Full,2018,5.7,125000,245000
1590,Senta fe,Al-Ahsa,Hyundai,Automatic,Saudi,Full,2016,3.3,157000,69000
1591,Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2020,1.4,19717,41500
1592,ES,Hail,Lexus,Automatic,Gulf Arabic,Semi Full,2015,3.5,161000,74000
1593,Tucson,Jeddah,Hyundai,Automatic,Other,Semi Full,2016,2.4,119800,57000
1594,ES,Al-Ahsa,Lexus,Automatic,Gulf Arabic,Full,2017,3.5,99000,129000
1595,Yaris,Makkah,Toyota,Automatic,Saudi,Standard,2017,1.3,100000,27000
1597,Senta fe,Al-Namas,Hyundai,Automatic,Saudi,Semi Full,2012,2.4,126000,42000
1598,Sierra,Riyadh,GMC,Automatic,Gulf Arabic,Full,2020,5.3,32000,158000
1600,FJ,Riyadh,Toyota,Automatic,Saudi,Full,2016,4.0,184000,100000
1602,Datsun,Tabouk,Nissan,Manual,Saudi,Full,2015,1.1,215267,31000
1605,Cerato,Riyadh,Kia,Automatic,Saudi,Standard,2017,1.6,97000,38500
1606,Hilux,Dammam,Toyota,Manual,Saudi,Standard,2016,2.7,220424,62000
1607,H1,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2015,2.4,140000,55000
1608,Abeka,Taef,Chevrolet,Automatic,Saudi,Full,2008,1.8,260,14000
1610,Hiace,Riyadh,Toyota,Manual,Saudi,Standard,2017,2.7,134007,70000
1612,GS,Dammam,MG,Automatic,Saudi,Full,2016,1.5,139000,42000
1613,Altima,Riyadh,Nissan,Automatic,Saudi,Standard,2017,2.5,40000,59000
1615,Navara,Riyadh,Nissan,Automatic,Saudi,Semi Full,2014,2.5,178754,45000
1616,Accent,Dammam,Hyundai,Automatic,Saudi,Standard,2018,1.4,97300,31000
1617,C300,Riyadh,Chrysler,Automatic,Saudi,Full,2019,5.7,45000,145000
1618,Prado,Riyadh,Toyota,Automatic,Saudi,Semi Full,2018,4.0,56000,150000
1619,LX,Riyadh,Lexus,Automatic,Saudi,Full,2021,5.7,1700,498000
1621,Innova,Dammam,Toyota,Automatic,Saudi,Standard,2018,2.7,275916,67000
1622,Navara,Jeddah,Nissan,Manual,Saudi,Full,2015,2.5,83000,45000
1623,IS,Jeddah,Lexus,Automatic,Saudi,Full,2005,3.5,400000,50000
1625,6,Dammam,Mazda,Automatic,Saudi,Standard,2016,2.5,267000,50000
1626,Ciocca,Al-Medina,Toyota,Automatic,Saudi,Standard,2013,5.7,114000,89000
1628,Furniture,Al-Jouf,Toyota,Automatic,Saudi,Semi Full,2016,2.4,120000,92000
1632,Expedition,Al-Ahsa,Ford,Manual,Saudi,Full,2012,4.8,304,38000
1633,Sierra,Khobar,GMC,Automatic,Saudi,Full,2021,5.3,2000,190000
1634,Land Cruiser Pickup,Riyadh,Toyota,Manual,Gulf Arabic,Full,2016,4.0,243038,93500
1635,Accord,Jeddah,Honda,Automatic,Gulf Arabic,Full,2005,2.4,300000,11000
1637,Elantra,Riyadh,Hyundai,Automatic,Saudi,Standard,2019,1.6,106787,48500
1638,Azera,Makkah,Hyundai,Automatic,Saudi,Full,2021,3.5,25000,2690
1639,Camry,Jeddah,Toyota,Automatic,Saudi,Standard,2016,2.5,130000,55000
1641,G80,Riyadh,Genesis,Automatic,Saudi,Semi Full,2018,3.8,75000,110000
1642,Rav4,Makkah,Toyota,Automatic,Saudi,Full,2018,1.8,63000,90000
1644,Sonata,Aseer,Hyundai,Automatic,Saudi,Full,2016,2.4,230000,45000
1645,Accord,Dammam,Honda,Automatic,Gulf Arabic,Full,2019,1.5,81000,95000
1646,Furniture,Riyadh,Toyota,Manual,Saudi,Semi Full,2015,4.0,70346,80500
1649,The 5,Jeddah,BMW,Automatic,Saudi,Semi Full,2019,2.0,29900,150000
1650,Corolla,Al-Medina,Toyota,Automatic,Saudi,Standard,2013,1.6,186000,27000
1651,Prado,Riyadh,Toyota,Automatic,Saudi,Semi Full,2020,2.7,5000,153000
1653,Sunny,Dammam,Nissan,Automatic,Saudi,Standard,2019,1.5,77000,28500
1655,Camry,Al-Medina,Toyota,Automatic,Gulf Arabic,Semi Full,2015,2.4,140000,45000
1656,CX9,Riyadh,Mazda,Automatic,Saudi,Semi Full,2016,3.0,230000,50000
1657,Patrol,Dammam,Nissan,Automatic,Saudi,Semi Full,2016,5.6,50000,150000
1659,Flying Spur,Dammam,Bentley,Automatic,Saudi,Full,2010,5.0,58000,175000
1660,Corolla,Dammam,Toyota,Automatic,Saudi,Standard,2018,1.6,83000,45000
1661,Camry,Dammam,Toyota,Automatic,Saudi,Standard,2015,2.5,277000,48000
1662,Land Cruiser,Dammam,Toyota,Automatic,Saudi,Full,2015,5.7,119000,180000
1665,Prado,Dammam,Toyota,Automatic,Saudi,Standard,2015,2.7,250000,78000
1666,Camry,Taef,Toyota,Automatic,Saudi,Standard,2021,2.5,10000,1519
1667,Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Semi Full,2013,5.3,250000,70000
1671,C,Dammam,Mercedes,Automatic,Other,Full,2019,2.0,15000,175000
1673,Hilux,Riyadh,Toyota,Manual,Saudi,Semi Full,2018,2.7,105558,76500
1674,Pilot,Riyadh,Honda,Automatic,Gulf Arabic,Full,2015,3.5,98000,75000
1675,L200,Jeddah,Mitsubishi,Manual,Saudi,Standard,2015,2.5,103000,30000
1676,Charger,Dammam,Dodge,Automatic,Other,Full,2016,3.6,101000,95000
1677,Yaris,Dammam,Toyota,Automatic,Saudi,Semi Full,2019,1.5,42628,38500
1679,Explorer,Riyadh,Ford,Automatic,Saudi,Standard,2014,3.6,209500,56000
1680,Elantra,Dammam,Hyundai,Automatic,Saudi,Standard,2016,1.6,172600,35000
1681,Ranger,Aseer,Ford,Manual,Saudi,Full,2015,3.2,145000,65000
1682,FJ,Riyadh,Toyota,Automatic,Gulf Arabic,Full,2017,1.6,74658,135000
1683,Sierra,Riyadh,GMC,Automatic,Saudi,Full,2015,5.3,86500,98000
1684,Escalade,Dammam,Cadillac,Automatic,Other,Full,2016,6.2,119000,178000
1685,Patrol,Dammam,Nissan,Automatic,Saudi,Full,2005,4.0,340000,35000
1687,CX5,Jeddah,Mazda,Automatic,Saudi,Full,2020,2.0,26000,112000
1688,Furniture,Riyadh,Toyota,Automatic,Saudi,Semi Full,2020,4.0,20406,132000
1689,A7,Makkah,Audi,Automatic,Saudi,Full,2017,2.0,127000,135000
1690,Altima,Qassim,Nissan,Automatic,Gulf Arabic,Full,2015,2.5,119500,47000
1692,X-Trail,Riyadh,Nissan,Automatic,Saudi,Standard,2016,2.5,115000,50000
1693,Furniture,Riyadh,Toyota,Automatic,Saudi,Full,2020,4.0,20000,130000
1694,Cadenza,Makkah,Kia,Automatic,Gulf Arabic,Full,2011,3.3,334624,27500
1695,Range Rover,Riyadh,Land Rover,Automatic,Saudi,Full,2015,3.0,71500,265000
1696,Yukon,Riyadh,GMC,Automatic,Saudi,Semi Full,2013,5.3,150000,65000
