,Type,Region,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Price
3057,Corolla,Riyadh,Toyota,Automatic,Saudi,Standard,2018,1.6,90084,50000
3058,CLA,Riyadh,Mercedes,Automatic,Other,Standard,2020,2.0,20000,235000
3059,6,Jeddah,Mazda,Automatic,Saudi,Full,2019,2.5,50000,90000
3061,Tahoe,Jeddah,Chevrolet,Automatic,Saudi,Standard,2012,5.3,297000,52000
3062,Range Rover,Qassim,Land Rover,Automatic,Gulf Arabic,Semi Full,2015,5.0,103000,225000
3063,Range Rover,Riyadh,Land Rover,Automatic,Saudi,Semi Full,2015,3.0,125000,165000
3064,C,Jeddah,Mercedes,Automatic,Saudi,Full,2014,1.8,148925,79500
3065,Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2019,1.4,102113,39500
3067,Cadenza,Riyadh,Kia,Automatic,Saudi,Standard,2016,3.5,130000,56000
3070,Caprice,Riyadh,Chevrolet,Automatic,Saudi,Standard,2013,6.0,313000,35000
3071,Defender,Jeddah,Land Rover,Automatic,Saudi,Full,2021,3.0,100,450000
3073,Corolla,Riyadh,Toyota,Automatic,Saudi,Standard,2018,1.6,103966,43500
3074,Camry,Qassim,Toyota,Automatic,Gulf Arabic,Standard,2016,2.5,73000,61000
3075,Pajero,Riyadh,Mitsubishi,Automatic,Saudi,Semi Full,2016,3.5,193000,45000
3076,Corolla,Khobar,Toyota,Automatic,Saudi,Standard,2018,2.0,245000,41000
3078,Accord,Riyadh,Honda,Automatic,Gulf Arabic,Semi Full,2016,2.4,80000,69000
3082,Land Cruiser 70,Riyadh,Toyota,Manual,Saudi,Standard,1978,4.0,400000,18000
3088,X,Riyadh,BMW,Automatic,Gulf Arabic,Full,2016,4.4,130341,161500
3089,Yukon,Jeddah,GMC,Automatic,Other,Semi Full,2002,5.3,300000,10000
3091,Elantra,Riyadh,Hyundai,Automatic,Saudi,Standard,2019,1.6,91959,48500
3092,Ciocca,Najran,Toyota,Automatic,Saudi,Semi Full,2016,5.7,117000,140000
3093,Land Cruiser,Riyadh,Toyota,Automatic,Gulf Arabic,Full,2018,5.7,42000,241000
3094,Caprice,Riyadh,Chevrolet,Automatic,Saudi,Standard,2013,6.0,124628,75000
3095,Pajero,Dammam,Mitsubishi,Automatic,Saudi,Semi Full,2017,3.5,159000,55000
3099,Hilux,Jeddah,Toyota,Manual,Saudi,Standard,2016,2.7,155000,75000
3100,Daily,Riyadh,Iveco,Manual,Saudi,Standard,2018,3.0,116000,92000
3101,Malibu,Dammam,Chevrolet,Automatic,Saudi,Semi Full,2017,2.5,176000,49000
3103,Tahoe,Jeddah,Chevrolet,Automatic,Saudi,Standard,2017,5.3,136517,107000
3104,Yukon,Riyadh,GMC,Automatic,Saudi,Full,2013,5.3,206000,90000
3105,Range Rover,Riyadh,Land Rover,Automatic,Gulf Arabic,Full,2020,5.0,36000,540000
3108,Yukon,Riyadh,GMC,Automatic,Saudi,Full,2008,5.3,382000,45000
3109,Sonata,Riyadh,Hyundai,Automatic,Saudi,Full,2018,2.4,135000,58000
3110,Terrain,Jeddah,GMC,Automatic,Saudi,Semi Full,2013,2.4,90000,35000
3111,Patrol,Al-Medina,Nissan,Manual,Saudi,Standard,1999,1.6,600,16000
3112,Tahoe,Jeddah,Chevrolet,Automatic,Saudi,Standard,2016,5.3,140641,2333
3114,LX,Jeddah,Lexus,Automatic,Saudi,Full,2018,5.7,95000,355000
3117,Nitro,Riyadh,Dodge,Automatic,Saudi,Full,2011,3.7,230000,17000
3118,Yaris,Dammam,Toyota,Automatic,Saudi,Standard,2019,1.5,70000,39000
3120,LS,Taef,Lexus,Automatic,Saudi,Full,2012,1.8,150000,95000
3121,Innova,Riyadh,Toyota,Automatic,Gulf Arabic,Full,2016,2.7,190000,65000
3122,CX9,Jeddah,Mazda,Automatic,Saudi,Full,2015,2.5,115000,82000
3123,Pilot,Jeddah,Honda,Automatic,Saudi,Semi Full,2016,1.6,103000,85000
3124,ES,Jazan,Lexus,Automatic,Saudi,Standard,2021,2.5,13500,172500
3126,S,Riyadh,Mercedes,Automatic,Gulf Arabic,Full,2015,3.0,53000,260000
3127,LX,Abha,Lexus,Automatic,Saudi,Full,2014,5.7,342,150000
3129,Land Cruiser 70,Dammam,Toyota,Manual,Saudi,Standard,1983,3.8,300000,14000
3130,Land Cruiser,Dammam,Toyota,Automatic,Gulf Arabic,Semi Full,2001,4.6,390000,35000
3132,Innova,Jeddah,Toyota,Automatic,Saudi,Full,2017,2.7,130000,67000
3133,Yukon,Jeddah,GMC,Automatic,Saudi,Standard,2011,8.0,320000,50000
3134,Yukon,Al-Ahsa,GMC,Automatic,Saudi,Full,2014,6.2,36000,95000
3135,Victoria,Aseer,Ford,Automatic,Saudi,Standard,2002,4.6,368000,10000
3136,Odyssey,Riyadh,Honda,Automatic,Gulf Arabic,Standard,2016,2.4,87000,65000
3137,Camry,Dammam,Toyota,Manual,Saudi,Full,2010,2.4,390000,20000
3138,Avalon,Riyadh,Toyota,Automatic,Saudi,Standard,2015,3.5,249539,77500
3140,Senta fe,Riyadh,Hyundai,Automatic,Saudi,Standard,2016,3.3,199,1576
3141,Patrol,Dammam,Nissan,Automatic,Saudi,Semi Full,2014,5.6,200000,105000
3143,The 7,Dammam,BMW,Automatic,Other,Full,1989,5.0,176000,33000
3146,RX,Jeddah,Lexus,Automatic,Saudi,Full,2015,3.5,49000,123000
3147,RX,Riyadh,Lexus,Automatic,Saudi,Full,2016,3.5,104000,148000
3148,Wrangler,Riyadh,Jeep,Automatic,Gulf Arabic,Full,2017,3.6,42000,110000
3149,Sonata,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2019,2.4,78000,62000
3150,Prado,Dammam,Toyota,Automatic,Saudi,Semi Full,2016,4.0,97000,119000
3152,Accent,Al-Ahsa,Hyundai,Automatic,Saudi,Semi Full,2018,1.4,95000,41000
3155,XJ,Jeddah,Jaguar,Automatic,Saudi,Full,2015,3.0,57000,180000
